# Parameters

Dataset = set_full
Cutoff Frequency = Unfiltered
Data Window = 200
Trim Size = 13s per side

n Features = 10
Datasets = All

# Extracted Features - Middle 

*** MaxRel features ***
Order 	 Fea 	 Name 					 Score
2 	 383 	 Y Accel 36.4 Hz 	 0.223
3 	 395 	 Y Accel 34.3 Hz 	 0.217
4 	 407 	 Y Accel 32.3 Hz 	 0.191
5 	 389 	 Y Accel 35.4 Hz 	 0.184
6 	 401 	 Y Accel 33.3 Hz 	 0.166
7 	 484 	 Z Accel 19.2 Hz 	 0.164
8 	 413 	 Y Accel 31.3 Hz 	 0.151
9 	 371 	 Y Accel 38.4 Hz 	 0.143
10 	 419 	 Y Accel 30.3 Hz 	 0.129

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 490 	 Z Accel 18.2 Hz 	 0.234
2 	 454 	 Z Accel 24.2 Hz 	 0.079
3 	 389 	 Y Accel 35.4 Hz 	 0.114
4 	 383 	 Y Accel 36.4 Hz 	 0.077
5 	 466 	 Z Accel 22.2 Hz 	 0.060
6 	 395 	 Y Accel 34.3 Hz 	 0.070
7 	 78 	 X Accel 87.9 Hz 	 0.060
8 	 484 	 Z Accel 19.2 Hz 	 0.067
9 	 478 	 Z Accel 20.2 Hz 	 0.057
10 	 371 	 Y Accel 38.4 Hz 	 0.061


# FFT - Middle Donut


*** MaxRel features ***
Order 	 Fea 	 Name 			 Score
1 	 389 	 Y Accel 35.4 Hz 	 0.205
2 	 383 	 Y Accel 36.4 Hz 	 0.205
3 	 395 	 Y Accel 34.3 Hz 	 0.192
4 	 401 	 Y Accel 33.3 Hz 	 0.186
5 	 377 	 Y Accel 37.4 Hz 	 0.131
6 	 407 	 Y Accel 32.3 Hz 	 0.118
7 	 371 	 Y Accel 38.4 Hz 	 0.100
8 	 599 	 Y Accel 0.0 Hz 	 0.087
9 	 365 	 Y Accel 39.4 Hz 	 0.074
10 	 490 	 Z Accel 18.2 Hz 	 0.069

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 389 	 Y Accel 35.4 Hz 	 0.205
2 	 595 	 Z Gyro 0.0 Hz 		 0.050
3 	 383 	 Y Accel 36.4 Hz 	 0.104
4 	 401 	 Y Accel 33.3 Hz 	 0.073
5 	 395 	 Y Accel 34.3 Hz 	 0.064
6 	 377 	 Y Accel 37.4 Hz 	 0.045
7 	 407 	 Y Accel 32.3 Hz 	 0.044
8 	 371 	 Y Accel 38.4 Hz 	 0.036
9 	 484 	 Z Accel 19.2 Hz 	 0.037
10 	 365 	 Y Accel 39.4 Hz 	 0.036


# FFT - Middle Figure


*** MaxRel features ***
Order 	 Fea 	 Name 			 Score
1 	 389 	 Y Accel 35.4 Hz 	 0.144
2 	 383 	 Y Accel 36.4 Hz 	 0.138
3 	 395 	 Y Accel 34.3 Hz 	 0.138
4 	 401 	 Y Accel 33.3 Hz 	 0.114
5 	 377 	 Y Accel 37.4 Hz 	 0.107
6 	 484 	 Z Accel 19.2 Hz 	 0.096
7 	 407 	 Y Accel 32.3 Hz 	 0.089
8 	 490 	 Z Accel 18.2 Hz 	 0.087
9 	 413 	 Y Accel 31.3 Hz 	 0.072
10 	 496 	 Z Accel 17.2 Hz 	 0.063

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 389 	 Y Accel 35.4 Hz 	 0.144
2 	 484 	 Z Accel 19.2 Hz 	 0.046
3 	 383 	 Y Accel 36.4 Hz 	 0.059
4 	 395 	 Y Accel 34.3 Hz 	 0.049
5 	 490 	 Z Accel 18.2 Hz 	 0.032
6 	 377 	 Y Accel 37.4 Hz 	 0.039
7 	 401 	 Y Accel 33.3 Hz 	 0.037
8 	 478 	 Z Accel 20.2 Hz 	 0.032
9 	 436 	 Z Accel 27.3 Hz 	 0.029
10 	 371 	 Y Accel 38.4 Hz 	 0.030


# FFT - Right Straight


*** MaxRel features ***
Order 	 Fea 	 Name 			 Score
1 	 595 	 Z Gyro 0.0 Hz 		 0.822
2 	 600 	 X Accel 0.0 Hz 	 0.731
3 	 599 	 Y Accel 0.0 Hz 	 0.574
4 	 594 	 X Accel 1.0 Hz 	 0.569
5 	 593 	 Y Accel 1.0 Hz 	 0.543
6 	 588 	 X Accel 2.0 Hz 	 0.272
7 	 587 	 Y Accel 2.0 Hz 	 0.198
8 	 581 	 Y Accel 3.0 Hz 	 0.162
9 	 598 	 Z Accel 0.0 Hz 	 0.107
10 	 346 	 Z Accel 42.4 Hz 	 0.067

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 595 	 Z Gyro 0.0 Hz 		 0.822
2 	 599 	 Y Accel 0.0 Hz 	 0.285
3 	 600 	 X Accel 0.0 Hz 	 0.140
4 	 588 	 X Accel 2.0 Hz 	 0.090
5 	 593 	 Y Accel 1.0 Hz 	 0.110
6 	 581 	 Y Accel 3.0 Hz 	 0.083
7 	 594 	 X Accel 1.0 Hz 	 0.105
8 	 598 	 Z Accel 0.0 Hz 	 0.067
9 	 587 	 Y Accel 2.0 Hz 	 0.080
10 	 346 	 Z Accel 42.4 Hz 	 0.047


# FFT - Right Donut


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 595 	 Z Gyro 0.0 Hz	 	 0.720
2 	 599 	 Y Accel 0.0 Hz 	 0.376
3 	 600 	 X Accel 0.0 Hz 	 0.352
4 	 594 	 X Accel 1.0 Hz 	 0.245
5 	 593 	 Y Accel 1.0 Hz 	 0.218
6 	 587 	 Y Accel 2.0 Hz 	 0.116
7 	 588 	 X Accel 2.0 Hz 	 0.101
8 	 598 	 Z Accel 0.0 Hz 	 0.062
9 	 581 	 Y Accel 3.0 Hz 	 0.024
10 	 596 	 Y Gyro 0.0 Hz 		 0.019

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 595 	 Z Gyro 0.0 Hz 		 0.720
2 	 600 	 X Accel 0.0 Hz 	 0.212
3 	 596 	 Y Gyro 0.0 Hz 		 0.005
4 	 598 	 Z Accel 0.0 Hz 	 0.017
5 	 593 	 Y Accel 1.0 Hz 	 0.020
6 	 581 	 Y Accel 3.0 Hz 	 0.001
7 	 594 	 X Accel 1.0 Hz 	 0.026
8 	 399 	 X Gyro 33.3 Hz 	 -0.000
9 	 401 	 Y Accel 33.3 Hz 	 -0.000
10 	 599 	 Y Accel 0.0 Hz 	 0.034


# FFT - Right Figure 8


*** MaxRel features ***
Order 	 Fea 	 Name 			 Score
1 	 595 	 Z Gyro 0.0 Hz 		 0.183
2 	 593 	 Y Accel 1.0 Hz 	 0.100
3 	 594 	 X Accel 1.0 Hz 	 0.091
4 	 599 	 Y Accel 0.0 Hz 	 0.059
5 	 600 	 X Accel 0.0 Hz 	 0.054
6 	 587 	 Y Accel 2.0 Hz 	 0.037
7 	 588 	 X Accel 2.0 Hz 	 0.037
8 	 581 	 Y Accel 3.0 Hz 	 0.031
9 	 582 	 X Accel 3.0 Hz 	 0.021
10 	 598 	 Z Accel 0.0 Hz 	 0.015

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 595 	 Z Gyro 0.0 Hz 		 0.183
2 	 328 	 Z Accel 45.5 Hz 	 0.001
3 	 597 	 X Gyro 0.0 Hz 		 0.002
4 	 581 	 Y Accel 3.0 Hz 	 0.007
5 	 596 	 Y Gyro 0.0 Hz 		 0.004
6 	 582 	 X Accel 3.0 Hz 	 0.003
7 	 376 	 Z Accel 37.4 Hz 	 0.002
8 	 598 	 Z Accel 0.0 Hz 	 0.001
9 	 364 	 Z Accel 39.4 Hz 	 0.001
10 	 600 	 X Accel 0.0 Hz 	 0.002


# PSD Log - Middle Straight


*** MaxRel features ***
Order 	 Fea 	 Name 			 Score
1 	 342 	 X Accel 43.0 Hz 	 0.736
2 	 279 	 X Gyro 53.0 Hz 	 0.719
3 	 285 	 X Gyro 52.0 Hz 	 0.713
4 	 249 	 X Gyro 58.0 Hz 	 0.700
5 	 273 	 X Gyro 54.0 Hz 	 0.691
6 	 77 	 Y Accel 87.0 Hz 	 0.685
7 	 327 	 X Gyro 45.0 Hz 	 0.685
8 	 333 	 X Gyro 44.0 Hz 	 0.683
9 	 507 	 X Gyro 15.0 Hz 	 0.681
10 	 261 	 X Gyro 56.0 Hz 	 0.679

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 342 	 X Accel 43.0 Hz 	 0.736
2 	 578 	 Y Gyro 3.0 Hz 		 0.245
3 	 57 	 X Gyro 90.0 Hz 	 0.279
4 	 534 	 X Accel 11.0 Hz 	 0.231
5 	 279 	 X Gyro 53.0 Hz 	 0.223
6 	 507 	 X Gyro 15.0 Hz 	 0.208
7 	 285 	 X Gyro 52.0 Hz 	 0.167
8 	 572 	 Y Gyro 4.0 Hz 		 0.170
9 	 73 	 Z Gyro 87.0 Hz 	 0.173
10 	 162 	 X Accel 73.0 Hz 	 0.167


# PSD Log - Middle Donut


*** MaxRel features ***
Order 	 Fea 	 Name 			 Score
1 	 279 	 X Gyro 53.0 Hz 	 0.705
2 	 267 	 X Gyro 55.0 Hz 	 0.704
3 	 225 	 X Gyro 62.0 Hz 	 0.697
4 	 291 	 X Gyro 51.0 Hz 	 0.684
5 	 261 	 X Gyro 56.0 Hz 	 0.684
6 	 243 	 X Gyro 59.0 Hz 	 0.680
7 	 213 	 X Gyro 64.0 Hz 	 0.670
8 	 303 	 X Gyro 49.0 Hz 	 0.669
9 	 273 	 X Gyro 54.0 Hz 	 0.669
10 	 249 	 X Gyro 58.0 Hz 	 0.662

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 279 	 X Gyro 53.0 Hz 	 0.705
2 	 572 	 Y Gyro 4.0 Hz 		 0.338
3 	 45 	 X Gyro 92.0 Hz 	 0.353
4 	 225 	 X Gyro 62.0 Hz 	 0.325
5 	 539 	 Y Accel 10.0 Hz 	 0.299
6 	 267 	 X Gyro 55.0 Hz 	 0.309
7 	 95 	 Y Accel 84.0 Hz 	 0.283
8 	 560 	 Y Gyro 6.0 Hz 		 0.290
9 	 261 	 X Gyro 56.0 Hz 	 0.288
10 	 101 	 Y Accel 83.0 Hz 	 0.272


# PSD Log - Middle Figure 8


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 261 	 X Gyro 56.0 Hz 	 0.604
2 	 291 	 X Gyro 51.0 Hz 	 0.597
3 	 255 	 X Gyro 57.0 Hz 	 0.597
4 	 285 	 X Gyro 52.0 Hz 	 0.591
5 	 297 	 X Gyro 50.0 Hz 	 0.589
6 	 279 	 X Gyro 53.0 Hz 	 0.582
7 	 249 	 X Gyro 58.0 Hz 	 0.581
8 	 267 	 X Gyro 55.0 Hz 	 0.581
9 	 273 	 X Gyro 54.0 Hz 	 0.576
10 	 243 	 X Gyro 59.0 Hz 	 0.564

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 261 	 X Gyro 56.0 Hz 	 0.604
2 	 560 	 Y Gyro 6.0 Hz 		 0.339
3 	 59 	 Y Accel 90.0 Hz 	 0.303
4 	 584 	 Y Gyro 2.0 Hz 		 0.260
5 	 119 	 Y Accel 80.0 Hz 	 0.294
6 	 554 	 Y Gyro 7.0 Hz 		 0.265
7 	 249 	 X Gyro 58.0 Hz 	 0.282
8 	 95 	 Y Accel 84.0 Hz 	 0.256
9 	 566 	 Y Gyro 5.0 Hz 		 0.258
10 	 291 	 X Gyro 51.0 Hz 	 0.262


# PSD Log - Left Straight


*** MaxRel features ***
Order 	 Fea 	 Name 			 Score
1 	 280 	 Z Accel 53.0 Hz 	 1.561
2 	 225 	 X Gyro 62.0 Hz 	 1.528
3 	 220 	 Z Accel 63.0 Hz 	 1.481
4 	 274 	 Z Accel 54.0 Hz 	 1.476
5 	 387 	 X Gyro 35.0 Hz 	 1.443
6 	 441 	 X Gyro 26.0 Hz 	 1.433
7 	 465 	 X Gyro 22.0 Hz 	 1.390
8 	 538 	 Z Accel 10.0 Hz 	 1.386
9 	 405 	 X Gyro 32.0 Hz 	 1.370
10 	 244 	 Z Accel 59.0 Hz 	 1.369

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 280 	 Z Accel 53.0 Hz 	 1.561
2 	 566 	 Y Gyro 5.0 Hz 		 0.440
3 	 225 	 X Gyro 62.0 Hz 	 0.589
4 	 257 	 Y Accel 57.0 Hz 	 0.540
5 	 274 	 Z Accel 54.0 Hz 	 0.499
6 	 387 	 X Gyro 35.0 Hz 	 0.489
7 	 562 	 Z Accel 6.0 Hz 	 0.453
8 	 236 	 Y Gyro 60.0 Hz 	 0.441
9 	 595 	 Z Gyro 0.0 Hz 		 0.430
10 	 426 	 X Accel 29.0 Hz 	 0.443


# PSD Log - Left Donut


*** MaxRel features ***
Order 	 Fea 	 Name 			 Score
1 	 208 	 Z Accel 65.0 Hz 	 1.023
2 	 232 	 Z Accel 61.0 Hz 	 0.951
3 	 226 	 Z Accel 62.0 Hz 	 0.923
4 	 274 	 Z Accel 54.0 Hz 	 0.890
5 	 268 	 Z Accel 55.0 Hz 	 0.886
6 	 262 	 Z Accel 56.0 Hz 	 0.855
7 	 214 	 Z Accel 64.0 Hz 	 0.842
8 	 256 	 Z Accel 57.0 Hz 	 0.827
9 	 244 	 Z Accel 59.0 Hz 	 0.824
10 	 238 	 Z Accel 60.0 Hz 	 0.812

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 208 	 Z Accel 65.0 Hz 	 1.023
2 	 268 	 Z Accel 55.0 Hz 	 0.320
3 	 232 	 Z Accel 61.0 Hz 	 0.368
4 	 142 	 Z Accel 76.0 Hz 	 0.322
5 	 496 	 Z Accel 17.0 Hz 	 0.340
6 	 226 	 Z Accel 62.0 Hz 	 0.410
7 	 274 	 Z Accel 54.0 Hz 	 0.369
8 	 256 	 Z Accel 57.0 Hz 	 0.333
9 	 214 	 Z Accel 64.0 Hz 	 0.320
10 	 244 	 Z Accel 59.0 Hz 	 0.321


# PSD Log - Left Figure 8


*** MaxRel features ***
Order 	 Fea 	 Name 			 Score
1 	 220 	 Z Accel 63.0 Hz 	 0.826
2 	 250 	 Z Accel 58.0 Hz 	 0.809
3 	 256 	 Z Accel 57.0 Hz 	 0.808
4 	 238 	 Z Accel 60.0 Hz 	 0.804
5 	 226 	 Z Accel 62.0 Hz 	 0.785
6 	 232 	 Z Accel 61.0 Hz 	 0.783
7 	 244 	 Z Accel 59.0 Hz 	 0.782
8 	 262 	 Z Accel 56.0 Hz 	 0.778
9 	 268 	 Z Accel 55.0 Hz 	 0.736
10 	 214 	 Z Accel 64.0 Hz 	 0.734

*** mRMR features *** 
Order 	 Fea 	 Name 			 Score
1 	 220 	 Z Accel 63.0 Hz 	 0.826
2 	 118 	 Z Accel 80.0 Hz 	 0.198
3 	 256 	 Z Accel 57.0 Hz 	 0.386
4 	 250 	 Z Accel 58.0 Hz 	 0.276
5 	 160 	 Z Accel 73.0 Hz 	 0.226
6 	 238 	 Z Accel 60.0 Hz 	 0.278
7 	 262 	 Z Accel 56.0 Hz 	 0.254
8 	 226 	 Z Accel 62.0 Hz 	 0.226
9 	 274 	 Z Accel 54.0 Hz 	 0.212
10 	 130 	 Z Accel 78.0 Hz 	 0.213

